expert_id,fisher,task,n_prompts,baseline_accuracy,steered_accuracy,delta_accuracy
1539,175.69805908203125,current_time,207,0.913,0.0,-0.913
1850,164.8621826171875,current_time,207,0.9082,0.0,-0.9082
1680,153.5606689453125,current_time,345,0.9014,0.0,-0.9014
752,143.9425048828125,current_time,253,0.9091,0.0,-0.9091
2126,143.4140625,current_time,552,0.9076,0.0,-0.9076
603,123.69751739501953,current_time,552,0.9076,0.0,-0.9076
62,111.93733215332031,current_time,368,0.9076,0.0,-0.9076
999,108.04106903076172,current_time,322,0.9068,0.0,-0.9068
3654,93.13057708740234,current_time,391,0.9079,0.0,-0.9079
2271,87.85897827148438,current_time,552,0.9076,0.0,-0.9076
1539,175.69805908203125,elapsed_time,108,0.9722,0.0,-0.9722
1850,164.8621826171875,elapsed_time,108,0.9722,0.0,-0.9722
1680,153.5606689453125,elapsed_time,180,0.9833,0.0,-0.9833
752,143.9425048828125,elapsed_time,132,0.9773,0.0,-0.9773
2126,143.4140625,elapsed_time,288,0.9792,0.0035,-0.9757
603,123.69751739501953,elapsed_time,288,0.9792,0.0,-0.9792
62,111.93733215332031,elapsed_time,192,0.9896,0.0052,-0.9844
999,108.04106903076172,elapsed_time,168,0.9881,0.006,-0.9821
3654,93.13057708740234,elapsed_time,204,0.9755,0.0049,-0.9706
2271,87.85897827148438,elapsed_time,288,0.9792,0.0035,-0.9757
