expert_id,fisher,task,n_prompts,baseline_accuracy,steered_accuracy,delta_accuracy
1069,158.0381622314453,current_time,368,0.9076,0.0,-0.9076
3811,135.24380493164062,current_time,552,0.9076,0.0,-0.9076
468,128.29783630371094,current_time,552,0.9076,0.0,-0.9076
2485,124.76792907714844,current_time,299,0.9097,0.0,-0.9097
3669,114.68199157714844,current_time,161,0.9193,0.0,-0.9193
1915,97.90858459472656,current_time,552,0.9076,0.0,-0.9076
3807,90.71704864501953,current_time,276,0.9058,0.0,-0.9058
2434,90.23046112060547,current_time,552,0.9076,0.0,-0.9076
503,89.79296875,current_time,414,0.9082,0.0,-0.9082
3433,83.28363037109375,current_time,437,0.9085,0.0,-0.9085
1069,158.0381622314453,elapsed_time,192,0.9792,0.0,-0.9792
3811,135.24380493164062,elapsed_time,288,0.9792,0.0,-0.9792
468,128.29783630371094,elapsed_time,288,0.9792,0.0035,-0.9757
2485,124.76792907714844,elapsed_time,156,0.9872,0.0064,-0.9808
3669,114.68199157714844,elapsed_time,84,0.9762,0.0119,-0.9643
1915,97.90858459472656,elapsed_time,288,0.9792,0.0,-0.9792
3807,90.71704864501953,elapsed_time,144,0.9792,0.0,-0.9792
2434,90.23046112060547,elapsed_time,288,0.9792,0.0,-0.9792
503,89.79296875,elapsed_time,216,0.9861,0.0046,-0.9815
3433,83.28363037109375,elapsed_time,228,0.9781,0.0044,-0.9737
