expert_id,fisher,task,n_prompts,baseline_accuracy,steered_accuracy,delta_accuracy
1000,325.3486633300781,current_time,552,0.9076,0.0054,-0.9022
1311,182.69590759277344,current_time,437,0.9085,0.0,-0.9085
620,167.76046752929688,current_time,391,0.9105,0.0,-0.9105
1691,155.890625,current_time,414,0.9082,0.0,-0.9082
1201,84.47228240966797,current_time,414,0.9058,0.0,-0.9058
1289,61.969085693359375,current_time,552,0.9076,0.0,-0.9076
1136,51.932861328125,current_time,460,0.9087,0.0,-0.9087
283,43.88850784301758,current_time,437,0.9062,0.0,-0.9062
1829,42.57195281982422,current_time,230,0.9043,0.0,-0.9043
1213,39.72804260253906,current_time,414,0.9058,0.0,-0.9058
1000,325.3486633300781,elapsed_time,288,0.9792,0.0069,-0.9722
1311,182.69590759277344,elapsed_time,228,0.9781,0.0088,-0.9693
620,167.76046752929688,elapsed_time,204,0.9755,0.0,-0.9755
1691,155.890625,elapsed_time,216,0.9769,0.0046,-0.9722
1201,84.47228240966797,elapsed_time,216,0.9861,0.0,-0.9861
1289,61.969085693359375,elapsed_time,288,0.9792,0.0035,-0.9757
1136,51.932861328125,elapsed_time,240,0.9875,0.0042,-0.9833
283,43.88850784301758,elapsed_time,228,0.9737,0.0044,-0.9693
1829,42.57195281982422,elapsed_time,120,0.975,0.0083,-0.9667
1213,39.72804260253906,elapsed_time,216,0.9769,0.0046,-0.9722
